职位,薪资,城市,区域,区域具体,经验要求,学历要求,福利,技能,salary_min,salary_max,salary_multiplier,salary_avg,experience_years_min,experience_years_max,education_level,education_name,job_category,benefits_list,skills_list,benefits_count,skills_count,is_ai_related,is_python_related,is_remote_work
高级.NET开发工程师,9-12K·13薪,长沙,开福区,伍家岭,3-5年,大专,"['零食下午茶', '定期体检', '五险一金', '带薪年假', '员工旅游', '节日福利', '年终奖']","['多线程', '微服务架构', 'NoSQL', 'MongoDB', 'Linux', 'Socket技术', 'Redis', '.NET Core']",9.0,12.0,1.0833333333333333,11.375,3,5,4,大专,开发工程师,"['零食下午茶', '定期体检', '五险一金', '带薪年假', '员工旅游', '节日福利', '年终奖']","['多线程', '微服务架构', 'NoSQL', 'MongoDB', 'Linux', 'Socket技术', 'Redis', '.NET Core']",7,8,0,0,0
高级后端工程师,15-25K,长沙,开福区,四方坪,5-10年,本科,"['年终奖', '股票期权', '带薪年假', '节日福利', '五险一金']","['PostgreSQL', 'MySQL', 'Python', 'Flask']",15.0,25.0,1.0,20.0,5,10,5,本科,开发工程师,"['年终奖', '股票期权', '带薪年假', '节日福利', '五险一金']","['PostgreSQL', 'MySQL', 'Python', 'Flask']",5,4,0,1,0
AI 机器人研发工程师,10-12K,长沙,开福区,开福区政府,3-5年,本科,"['工龄奖', '绩效奖金', '节假日加班费', '年终奖', '保底工资', '补充医疗保险', '带薪年假', '加班补助', '五险一金', '底薪加提成', '意外险']","['C++', 'Docker', '机器学习经验', 'Kafka', 'Redis', '架构设计经验', 'Linux开发/部署经验', 'Python']",10.0,12.0,1.0,11.0,3,5,5,本科,AI/算法工程师,"['工龄奖', '绩效奖金', '节假日加班费', '年终奖', '保底工资', '补充医疗保险', '带薪年假', '加班补助', '五险一金', '底薪加提成', '意外险']","['C++', 'Docker', '机器学习经验', 'Kafka', 'Redis', '架构设计经验', 'Linux开发/部署经验', 'Python']",11,8,1,1,0
测试软件开发工程师,15-20K,长沙,开福区,湘江中路,3-5年,本科,"['五险一金', '零食下午茶', '定期体检', '节日福利']","['功能测试', '计算机相关专业', '软件开发经验']",15.0,20.0,1.0,17.5,3,5,5,本科,开发工程师,"['五险一金', '零食下午茶', '定期体检', '节日福利']","['功能测试', '计算机相关专业', '软件开发经验']",4,3,0,0,0
中级爬虫工程师,10-15K,长沙,开福区,马栏山,3-5年,本科,"['节日福利', '五险一金']","['python', 'java', 'Scrapy', 'pyspide']",10.0,15.0,1.0,12.5,3,5,5,本科,爬虫工程师,"['节日福利', '五险一金']","['python', 'java', 'Scrapy', 'pyspide']",2,4,0,1,0
全栈应用研发工程师,15-20K,长沙,开福区,马栏山,5-10年,本科,"['定期体检', '节日福利', '餐补', '交通补助', '五险一金', '员工旅游', '股票期权', '通讯补贴', '年终奖', '带薪年假']","['JavaScript', '全栈无侧重', '计算机相关专业']",15.0,20.0,1.0,17.5,5,10,5,本科,开发工程师,"['定期体检', '节日福利', '餐补', '交通补助', '五险一金', '员工旅游', '股票期权', '通讯补贴', '年终奖', '带薪年假']","['JavaScript', '全栈无侧重', '计算机相关专业']",10,3,0,0,0
AI音视频系统后端研发工程师,15-25K·15薪,长沙,开福区,四方坪,3-5年,本科,"['宿舍有空调', '节日福利', '保底工资', '加班补助', '通讯补贴', '法定节假日三薪', '带薪年假', '员工旅游', '年终奖', '定期体检', '生日福利', '五险一金', '团建聚餐', '节假日加班费', '补充医疗保险', '有无线网']","['Java', 'C', 'C++', 'Spring', 'Nginx', 'SpringCloud', 'MyBatis', 'Zookeeper', 'MySQL', 'Redis', '音视频经验', '物联网经验', '大数据经验', '不接受居家办公']",15.0,25.0,1.25,25.0,3,5,5,本科,开发工程师,"['宿舍有空调', '节日福利', '保底工资', '加班补助', '通讯补贴', '法定节假日三薪', '带薪年假', '员工旅游', '年终奖', '定期体检', '生日福利', '五险一金', '团建聚餐', '节假日加班费', '补充医疗保险', '有无线网']","['Java', 'C', 'C++', 'Spring', 'Nginx', 'SpringCloud', 'MyBatis', 'Zookeeper', 'MySQL', 'Redis', '音视频经验', '物联网经验', '大数据经验', '不接受居家办公']",16,14,1,0,0
AI大语言模型开发工程师,12-15K,长沙,开福区,四方坪,3-5年,本科,"['零食下午茶', '有无线网', '定期体检', '生日福利', '五险一金', '底薪加提成', '团建聚餐', '保底工资', '绩效奖金', '节日福利']","['大语言模型开发', 'AI开发工程师', '大语言模型应用开发', 'Deepseek']",12.0,15.0,1.0,13.5,3,5,5,本科,开发工程师,"['零食下午茶', '有无线网', '定期体检', '生日福利', '五险一金', '底薪加提成', '团建聚餐', '保底工资', '绩效奖金', '节日福利']","['大语言模型开发', 'AI开发工程师', '大语言模型应用开发', 'Deepseek']",10,4,1,0,0
高级C++上位机开发工程师,14-18K·13薪,长沙,开福区,四方坪,1-3年,硕士,"['零食下午茶', '节假日加班费', '法定节假日三薪', '定期体检', '五险一金', '生日福利', '加班补助', '团建聚餐', '年终奖']","['C++', '团队管理经验', 'QT', 'Linux开发/部署经验', '上位机开发经验']",14.0,18.0,1.0833333333333333,17.333333333333332,1,3,6,硕士,开发工程师,"['零食下午茶', '节假日加班费', '法定节假日三薪', '定期体检', '五险一金', '生日福利', '加班补助', '团建聚餐', '年终奖']","['C++', '团队管理经验', 'QT', 'Linux开发/部署经验', '上位机开发经验']",9,5,0,0,0
物联网高级开发工程师,20-23K,长沙,,,5-10年,本科,"['团建聚餐', '节日福利', '工龄奖', '宿舍有空调', '包住', '年终奖', '五险一金', '免费班车', '包吃']","['C++', '嵌入式软件', 'C', '云平台技术', '计算机相关专业', '物联网', 'Python']",20.0,23.0,1.0,21.5,5,10,5,本科,开发工程师,"['团建聚餐', '节日福利', '工龄奖', '宿舍有空调', '包住', '年终奖', '五险一金', '免费班车', '包吃']","['C++', '嵌入式软件', 'C', '云平台技术', '计算机相关专业', '物联网', 'Python']",9,7,0,1,0
高级c端产品经理（准上市公司，平台好）,15-25K·13薪,长沙,,,5-10年,本科,"['绩效奖金', '节假日加班费', '节日福利', '带薪年假', '保底工资', '员工旅游', '底薪加提成', '生日福利', '年终奖', '全勤奖', '五险']",[],15.0,25.0,1.0833333333333333,21.666666666666664,5,10,5,本科,产品经理,"['绩效奖金', '节假日加班费', '节日福利', '带薪年假', '保底工资', '员工旅游', '底薪加提成', '生日福利', '年终奖', '全勤奖', '五险']",[],11,0,0,0,0
少儿编程老师,3-8K,长沙,开福区,伍家岭,1年以内,大专,"['五险一金', '节日福利', '节日福利', '零食下午茶']","['Java', 'C/C++', 'Python']",3.0,8.0,1.0,5.5,0,1,4,大专,教育培训,"['五险一金', '节日福利', '节日福利', '零食下午茶']","['Java', 'C/C++', 'Python']",4,3,0,1,0
UE4,20-25K,长沙,开福区,四方坪,3-5年,本科,"['五险一金', '定期体检', '年终奖', '带薪年假', '节日福利']","['UE4', 'C/C++', 'Shader开发经验', '游戏客户端开发经验', '美术/动画基础']",20.0,25.0,1.0,22.5,3,5,5,本科,其他,"['五险一金', '定期体检', '年终奖', '带薪年假', '节日福利']","['UE4', 'C/C++', 'Shader开发经验', '游戏客户端开发经验', '美术/动画基础']",5,5,0,0,0
it技术经理,15-30K,长沙,开福区,四方坪,5-10年,本科,"['免费班车', '定期体检', '股票期权', '带薪年假', '五险一金', '餐补', '员工旅游', '年终奖', '交通补助', '节日福利']","['互联网/AI', '团队管理', '技术管理', 'AI', '算法工程师', '项目管理']",15.0,30.0,1.0,22.5,5,10,5,本科,其他,"['免费班车', '定期体检', '股票期权', '带薪年假', '五险一金', '餐补', '员工旅游', '年终奖', '交通补助', '节日福利']","['互联网/AI', '团队管理', '技术管理', 'AI', '算法工程师', '项目管理']",10,6,0,0,0
PHP+Flutter程序员,7-9K,长沙,开福区,月湖,3-5年,大专,[],"['后端开发经验', '全栈项目经验']",7.0,9.0,1.0,8.0,3,5,4,大专,开发工程师,[],"['后端开发经验', '全栈项目经验']",0,2,0,0,0
自然语言处理算法工程师,12-18K·14薪,长沙,开福区,伍家岭,1-3年,硕士,"['节日福利', '五险一金', '年终奖', '带薪年假', '通讯补贴', '定期体检']","['C++', '搜索算法', '算法设计', '语义分析']",12.0,18.0,1.1666666666666667,17.5,1,3,6,硕士,AI/算法工程师,"['节日福利', '五险一金', '年终奖', '带薪年假', '通讯补贴', '定期体检']","['C++', '搜索算法', '算法设计', '语义分析']",6,4,1,0,0
高级java开发,10-15K,长沙,开福区,四方坪,5-10年,本科,"['股票期权', '定期体检', '有无线网', '员工旅游', '补充医疗保险', '零食下午茶', '全勤奖', '五险一金', '绩效奖金', '节日福利', '团建聚餐', '带薪年假', '年终奖']","['Java', '大数据经验', '不接受居家办公', '分布式经验', 'Docker', 'Elasticsearch', 'MySQL', 'Redis', 'Spring', 'Python']",10.0,15.0,1.0,12.5,5,10,5,本科,开发工程师,"['股票期权', '定期体检', '有无线网', '员工旅游', '补充医疗保险', '零食下午茶', '全勤奖', '五险一金', '绩效奖金', '节日福利', '团建聚餐', '带薪年假', '年终奖']","['Java', '大数据经验', '不接受居家办公', '分布式经验', 'Docker', 'Elasticsearch', 'MySQL', 'Redis', 'Spring', 'Python']",13,10,0,1,0
销售运营专员,5-8K,长沙,开福区,湘江中路,1-3年,大专,"['五险一金', '定期体检', '交通补助', '全勤奖', '带薪年假', '零食下午茶', '年终奖', '通讯补贴', '节日福利']","['数据分析能力', '精通SQL/Python/R语言', '逻辑思维能力', '企业（To B）', '业务数据监控及分析', '挖掘业务增长点', '销售支持/运营经验', '纯运营职位（无销售性质）']",5.0,8.0,1.0,6.5,1,3,4,大专,其他,"['五险一金', '定期体检', '交通补助', '全勤奖', '带薪年假', '零食下午茶', '年终奖', '通讯补贴', '节日福利']","['数据分析能力', '精通SQL/Python/R语言', '逻辑思维能力', '企业（To B）', '业务数据监控及分析', '挖掘业务增长点', '销售支持/运营经验', '纯运营职位（无销售性质）']",9,8,0,1,0
控制软件工程师,15-30K,长沙,开福区,青竹湖,经验不限,硕士,"['绩效奖金', '年终奖', '节日福利', '包住', '保底工资', '五险一金', '生日福利', '带薪年假', '交通补助', '节假日加班费', '餐补', '高温补贴', '定期体检', '免费工装', '工龄奖']",[],15.0,30.0,1.0,22.5,0,0,6,硕士,其他,"['绩效奖金', '年终奖', '节日福利', '包住', '保底工资', '五险一金', '生日福利', '带薪年假', '交通补助', '节假日加班费', '餐补', '高温补贴', '定期体检', '免费工装', '工龄奖']",[],15,0,0,0,0
软件测试工程师,9-14K·13薪,长沙,开福区,四方坪,经验不限,硕士,"['定期体检', '带薪年假', '五险一金', '餐补', '交通补助']","['自动化测试经验', 'Java', 'C++', '自动化测试', '性能测试', 'Python']",9.0,14.0,1.0833333333333333,12.458333333333332,0,0,6,硕士,测试工程师,"['定期体检', '带薪年假', '五险一金', '餐补', '交通补助']","['自动化测试经验', 'Java', 'C++', '自动化测试', '性能测试', 'Python']",5,6,0,1,0
教学产品研发经理,35-55K,长沙,开福区,青竹湖,5-10年,硕士,['五险一金'],"['国际教育认证', '教育学', '精通课程开发工具', '电子商务专业', '课程定价']",35.0,55.0,1.0,45.0,5,10,6,硕士,产品经理,['五险一金'],"['国际教育认证', '教育学', '精通课程开发工具', '电子商务专业', '课程定价']",1,5,0,0,0
测试工程师(J10912),13-20K·13薪,长沙,开福区,青竹湖,3-5年,本科,"['节日福利', '免费班车', '五险一金', '定期体检', '员工旅游', '全勤奖']",[],13.0,20.0,1.0833333333333333,17.875,3,5,5,本科,测试工程师,"['节日福利', '免费班车', '五险一金', '定期体检', '员工旅游', '全勤奖']",[],6,0,0,0,0
java,25-40K·15薪,长沙,,,1-3年,本科,[],"['Java', 'Spring', 'MySQL']",25.0,40.0,1.25,40.625,1,3,5,本科,开发工程师,[],"['Java', 'Spring', 'MySQL']",0,3,0,0,0
slam高级算法工程师,20-30K·13薪,长沙,开福区,四方坪,3-5年,硕士,"['五险一金', '股票期权', '节日福利', '带薪年假', '年终奖']","['SLAM算法', 'C/C++', 'Python', '无人机', '无人车', '国产化']",20.0,30.0,1.0833333333333333,27.083333333333332,3,5,6,硕士,AI/算法工程师,"['五险一金', '股票期权', '节日福利', '带薪年假', '年终奖']","['SLAM算法', 'C/C++', 'Python', '无人机', '无人车', '国产化']",5,6,1,1,0
物联网高级开发工程师（国企平台）,15-25K,长沙,,,5-10年,本科,[],"['C++', 'C', 'Python', '物联网开发', '物联网通信协议', 'IoT安全']",15.0,25.0,1.0,20.0,5,10,5,本科,开发工程师,[],"['C++', 'C', 'Python', '物联网开发', '物联网通信协议', 'IoT安全']",0,6,0,1,0
ai算法工程化（音视频等方向）,45-60K·15薪,长沙,,,3-5年,硕士,"['定期体检', '保底工资', '生日福利', '节假日加班费', '带薪年假', '节日福利', '通讯补贴', '五险一金', '有无线网', '补充医疗保险', '宿舍有空调', '团建聚餐', '法定节假日三薪', '加班补助', '员工旅游', '年终奖']","['模型加速/性能优化', 'C/C++', 'Python', '并行计算', '分布式训练', '嵌入式开发', '算法工程化经验', '推理引擎', 'cuda', '高性能计算', '高性能加速']",45.0,60.0,1.25,65.625,3,5,6,硕士,AI/算法工程师,"['定期体检', '保底工资', '生日福利', '节假日加班费', '带薪年假', '节日福利', '通讯补贴', '五险一金', '有无线网', '补充医疗保险', '宿舍有空调', '团建聚餐', '法定节假日三薪', '加班补助', '员工旅游', '年终奖']","['模型加速/性能优化', 'C/C++', 'Python', '并行计算', '分布式训练', '嵌入式开发', '算法工程化经验', '推理引擎', 'cuda', '高性能计算', '高性能加速']",16,11,1,1,0
php开发工程师,8-13K,长沙,开福区,广电,1-3年,大专,"['五险一金', '带薪年假', '年终奖', '绩效奖金', '底薪加提成', '团建聚餐']","['Laravel/Yii/ThinkPHP', '服务端开发经验', 'PHP开发经验', 'PHP', 'MySQL/Redis/MongoDB', '计算机相关专业', 'Python']",8.0,13.0,1.0,10.5,1,3,4,大专,开发工程师,"['五险一金', '带薪年假', '年终奖', '绩效奖金', '底薪加提成', '团建聚餐']","['Laravel/Yii/ThinkPHP', '服务端开发经验', 'PHP开发经验', 'PHP', 'MySQL/Redis/MongoDB', '计算机相关专业', 'Python']",6,7,0,1,0
软件测试工程师,6-7K,长沙,开福区,四方坪,3-5年,本科,"['五险一金', '餐补', '有无线网', '补充医疗保险', '带薪年假']","['自动化测试经验', 'C++', '测试工作经验', '自动化测试', '性能测试', '压力测试', '功能测试', '计算机相关专业', '掌握软件测试理论和流程']",6.0,7.0,1.0,6.5,3,5,5,本科,测试工程师,"['五险一金', '餐补', '有无线网', '补充医疗保险', '带薪年假']","['自动化测试经验', 'C++', '测试工作经验', '自动化测试', '性能测试', '压力测试', '功能测试', '计算机相关专业', '掌握软件测试理论和流程']",5,9,0,0,0
